"","aic.meta","aic.xpleth","aic.xMpleth","aic.xplethMpleth"
"BM",12.6183934553964,12.6183934553964,12.6183934553964,12.6183934553964
"BMS",14.5018799579334,14.4080811346983,13.1675995580112,15.042369340305
"OU",12.841065949574,12.1438217424813,7.54896529742635,7.71481961071007
"OUS",14.4801997290594,14.1065495341908,2.15983389324586,4.26595741766025
"OUSA",78.0667557756818,16.106549605529,2.68757911093707,-2786.65160137009
