"genus","species","genspec","genomesize","plethodontids","lifehistory","Notes","bp","of","cyt-b","range","of","cyt-b","Data","Source","cyt-b","Cyt-b","specimen","#","bp","of","16S","range","of","16s","Data","source","16S","16S","Specimen","#","Notes","Notes","2/2011",,,,,,,,,,,,,,,,,,
"Bolitoglossa","lincolni","B_lincolni",53,"plethodontids","D",784,"23-804","GU725464","MVZ",263475,"~510","825-1342","GU725451","MVZ",263475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","minutula","B_minutula",49,"plethodontids","D",573,"49-621","AF212098","specimen","#","not","in","GenBank","or","PNAS","paper","~510","825-1342","AY526124","MVZs12932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","morio","B_morio",57,"plethodontids","D",754,"23-804","GU725465","MVZ",257825,"~510","825-1342","GU725452","MVZ",257825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","occidentalis","B_occidentalis",44,"plethodontids","D",898,"156-1052","NICK","MVZ","GP1395",1076,"108-1237","NICK","GP1395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","platydactyla","B_platydactyla",67,"plethodontids","D",647,"20-667","AY133484","GP587",1090,"249-1339","DQ640054","AY133487","GP587","16S","DATA","FOR","SAME","INDIVIDUAL","FROM","TWO","STUDIES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","rostrata","B_rostrata",48,"plethodontids","D",751,"51-801","GU725466","MVZ",263517,904,"254-1197","NICK","MVZ",263517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","rufescens","B_rufescens",42,"plethodontids","D",645,"21-664","AY526159","MVZ194333",1329,"8-1378","DQ283335","JAC",21178,"16S-CYTB","CHIMAERA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","striatula","B_striatula",63,"plethodontids","D",214,"186-400","AF212982","MVZ",181280,"~510","825-1342","AF218488","MVZ",181280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bolitoglossa","subpalmata","B_subpalmata",66,"plethodontids","D",648,"20-667","AF212091","MVZ",194828,1141,"191-1370","DQ640052","EU448107","dbw5872",194828,"16S","SEQUENCE","IS","A","CHIMAERA","CYT-B","MATCHES","ONE","OF","THE",2,,,,,,,,,,,,,,,,,,,,,,,,
"Dendrotriton","bromeliacius","D_bromeliacius",37,"plethodontids","D",832,"230-1060","Nick","SMR",346,870,"401-1299","Nick","SMR",346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmognathus","fuscus","D_fuscus",17,"plethodontids","M","Mpleth",1140,"WHOLE","NC_006339","MVZ",224931,"WHOLE","WHOLE","NC_006339",224931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmognathus","monticola","D_monticola",16,"plethodontids","M","Mpleth",798,"224-1020","NICK","UAHC",15894,536,"832-1370","EF107178","1049DesMon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmognathus","ochrophaeus","D_ochrophaeus",16,"plethodontids","M","Mpleth",1079,"39-1116","NICK","UAHC",16065,897,"397-1307","NICK","UAHC",16065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmognathus","quadramaculatus","D_quadramaculatus",15,"plethodontids","M","Mpleth",783,"20-805","AY691739","UTA",56601,1365,"1-1365","DQ283253","UMMZ",221202,"16S-CYTB","CHIMAERA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmognathus","wrighti","D_wrighti",14,"plethodontids","D",1140,"WHOLE","NC_006337","MVZ",222618,"WHOLE","WHOLE","NC_006337","MVZ",222618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ensatina","eschscholtzii","E_eschscholtzii",45,"plethodontids","D",1140,"WHOLE","NC_006328","MVZ",236229,"WHOLE","WHOLE","NC_006328","MVZ",236229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","bislineata","E_bislineata",23,"plethodontids","M","Mpleth",1140,"WHOLE","NC_006329","MVZ",225074,"WHOLE","WHOLE","NC_006329","MVZ",225074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","longicauda","E_longicauda",28,"plethodontids","M","Mpleth",1118,"~WHOLE","AY528403","CM",147803,486,"bp","856-1344","FJ866465","voucher",394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","lucifuga","E_lucifuga",21,"plethodontids","M","Mpleth",1104,"37-1140","FJ917636","no","specimen","#","in","GenBank","of","J.","Zool","paper",1324,"78-1412","Jose","MVZ",222637,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","neotenes","E_neotenes",26,"plethodontids","P",1118,"~WHOLE","AY528400","TNHC_60313",1321,"129-1463","JOSE","TNHC",60313,"16S-CYTB","CHIMAERA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","quadridigitata","E_quadridigitata",25,"plethodontids","M","Mpleth",1118,"~WHOLE","AY528401","UTA_56412",700,"833-1538","AY523777","VUB",1058,"16S-CYTB","CHIMAERA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","tridentifera","E_tridentifera",27,"plethodontids","P",1030,"20-1045","AY014848","TNHC",51057,1278,"127-1418","NICK","TNHC",51057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eurycea","wilderae","E_wilderae",21,"plethodontids","M","Mpleth",336,"49-384","AF252379","specimen","ID","#","not","in","GenBank","can't","find","in","Herp","Monograph","but","might","be","in","there?)",1368,"1-1368","DQ283254","UMMZ",221205,,,,,,,,,,,,,,,,,,,,,
"Gyrinophilus","porphyriticus","G_porphyriticus",23,"plethodontids","M","Mpleth",1140,"WHOLE","NC_006341","MVZ",173504,"WHOLE","WHOLE","NC_006341","MVZ",173504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hemidactylium","scutatum","H_scutatum",33,"plethodontids","M","Mpleth",1140,"WHOLE","NC_006342","MVZ",225077,"WHOLE","WHOLE","NC_006342","MVZ",225077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydromantes","genei","H_genei",43,"plethodontids","D",1140,"WHOLE","My","JGI","data","need","MVZ#","not","in","MVZ","database","WHOLE","WHOLE","My","JGI","data","need","MVZ#","not","in","MVZ","database",,,,,,,,,,,,,,,,,,,,,,,,
"Hydromantes","italicus","H_italicus",72,"plethodontids","D",1140,"WHOLE","AY728215","MVZ163996","WHOLE","WHOLE","AY728215","MVZ163996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hydromantes","platycephalus","H_platycephalus",50,"plethodontids","D",555,"41-596","cytochrome","b","(cytb)","gene","mitochondrial","gene","encoding","mitochondrial","protein","partial","cds","gi|2351752|gb|U89613.1|HPU89613",1363,"1-1363","DQ283227","CAS",206495,"16s-cytb","chimaera",,,,,,,,,,,,,,,,,,,,,,,,,
"Karsenia","koreana","K_koreana",52,"plethodontids","D",781,"1-781","JF449367","MVZ-HERP-246033","WHOLE","WHOLE","JF449367","MVZ-HERP-246033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lineatriton","lineolus","L_lineolus",31,"plethodontids","D",569,"61-630","AF380767","S1162",510,"820-1340","AF380806","S1162",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nototriton","picadoi","N_picadoi",28,"plethodontids","D",385,"20-405","MVZ 203745 cytochrome b gene, partial cds; mitochondrial gene for mitochondrial product gi|6457404|gb|AF199145.1|AF199145 ",510,"820-1340","AF199205","MVZ",225899,"16s","chimaera","cyt-b","chimaera","(3","total","individuals)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
